Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
148,2,0,0,0,0,0,0
148,3,0,0,0,0,0,0
148,4,0,0,0,0,0,0
149,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0
149,2,0,0,0,0,0,0
149,3,0,0,0,0,0,0
149,4,0,0,0,0,0,0
150,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0
150,2,0,0,0,0,0,0
150,3,0,0,0,0,0,0
150,4,0,0,0,0,0,0
151,0,0,0,0,0,0,0
151,1,0,0,0,0,0,0
151,2,0,0,0,0,0,0
151,3,0,0,0,0,0,0
151,4,0,0,0,0,0,0
152,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0
152,2,0,0,0,0,0,0
152,3,0,0,0,0,0,0
152,4,0,0,0,0,0,0
153,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0
153,2,0,0,0,0,0,0
153,3,0,0,0,0,0,0
153,4,0,0,0,0,0,0
154,0,0,0,0,0,0,0
154,1,0,0,0,0,0,0
154,2,0,0,0,0,0,0
154,3,0,0,0,0,0,0
154,4,0,0,0,0,0,0
155,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0
155,2,0,0,0,0,0,0
155,3,0,0,0,0,0,0
155,4,0,0,0,0,0,0
156,0,0,0,0,0,0,0
156,1,0,0,0,0,0,0
156,2,0,0,0,0,0,0
156,3,0,0,0,0,0,0
156,4,0,0,0,0,0,0
157,0,0,0,0,0,0,0
157,1,0,0,0,0,0,0
157,2,0,0,0,0,0,0
157,3,0,0,0,0,0,0
157,4,0,0,0,0,0,0
158,0,0,0,0,0,0,0
158,1,0,0,0,0,0,0
158,2,0,0,0,0,0,0
158,3,0,0,0,0,0,0
158,4,0,0,0,0,0,0
159,0,0,0,0,0,0,0
159,1,0,0,0,0,0,0
159,2,0,0,0,0,0,0
159,3,0,0,0,0,0,0
159,4,0,0,0,0,0,0
160,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0
160,2,0,0,0,0,0,0
160,3,0,0,0,0,0,0
160,4,0,0,0,0,0,0
161,0,0,0,0,0,0,0
161,1,0,0,0,0,0,0
161,2,0,0,0,0,0,0
161,3,0,0,0,0,0,0
161,4,0,0,0,0,0,0
162,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0
162,2,0,0,0,0,0,0
162,3,0,0,0,0,0,0
162,4,0,0,0,0,0,0
163,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0
163,2,0,0,0,0,0,0
163,3,0,0,0,0,0,0
163,4,0,0,0,0,0,0
164,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0
164,2,0,0,0,0,0,0
164,3,0,0,0,0,0,0
164,4,0,0,0,0,0,0
165,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0
165,2,0,0,0,0,0,0
165,3,0,0,0,0,0,0
165,4,0,0,0,0,0,0
166,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0
166,2,0,0,0,0,0,0
166,3,0,0,0,0,0,0
166,4,0,0,0,0,0,0
167,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0
167,2,0,0,0,0,0,0
167,3,0,0,0,0,0,0
167,4,0,0,0,0,0,0
168,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0
168,2,0,0,0,0,0,0
168,3,0,0,0,0,0,0
168,4,0,0,0,0,0,0
169,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0
169,2,0,0,0,0,0,0
169,3,0,0,0,0,0,0
169,4,0,0,0,0,0,0
170,0,3.3047,1.8248,-25.131,0,0,0
170,1,4.2395,2.8422,-43.823,0,0,0
170,2,5.0957,3.2336,-60.073,0,0,0
170,3,6.4163,5.1896,-98.109,0,0,0
170,4,7.8955,8.7886,-155.16,0,0,0
171,0,9.056,13.718,-238.85,0,0,0
171,1,10.23,16.613,-342.26,0,0,0
171,2,6.3424,15.36,-432.54,0,0,0
171,3,-2.933,13.56,-484.09,0,0,0
171,4,-9.8698,14.185,-489.27,0,0,0
172,0,-11.418,14.497,-460.21,0,0,0
172,1,-13.759,16.296,-433.56,0,0,0
172,2,-17.267,19.19,-430.11,0,0,0
172,3,-18.747,22.085,-438.44,0,0,0
172,4,-19.838,26.544,-437.07,0,0,0
173,0,-20.933,31.239,-414.57,0,0,0
173,1,-19.844,34.76,-387.58,0,0,0
173,2,-18.753,38.984,-371.67,0,0,0
173,3,-19.068,43.209,-382.06,0,0,0
173,4,-19.075,47.903,-393.48,0,0,0
174,0,-18.691,55.179,-402.14,0,0,0
174,1,-18.852,60.577,-392.45,0,0,0
174,2,-17.686,65.428,-384.49,0,0,0
174,3,-17.067,71.296,-390.36,0,0,0
174,4,-16.294,78.102,-406.97,0,0,0
175,0,-15.364,85.77,-421.17,0,0,0
175,1,-13.887,93.046,-424.62,0,0,0
175,2,-11.941,98.993,-421.5,0,0,0
175,3,-9.216,104.86,-419.76,0,0,0
175,4,-6.7251,111.12,-422.54,0,0,0
176,0,-3.8452,115.89,-427.73,0,0,0
176,1,-1.0424,120.35,-431.21,0,0,0
176,2,1.3693,123.01,-428.07,0,0,0
176,3,4.718,124.66,-417.01,0,0,0
176,4,7.6764,124.97,-409.73,0,0,0
177,0,10.247,124.97,-404.2,0,0,0
177,1,10.79,125.13,-412.16,0,0,0
177,2,11.176,124.81,-416.32,0,0,0
177,3,12.108,124.74,-419.42,0,0,0
177,4,13.433,124.03,-418.38,0,0,0
178,0,12.807,123.64,-422.17,0,0,0
