Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
138,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0
138,2,0,0,0,0,0,0
138,3,0,0,0,0,0,0
138,4,0,0,0,0,0,0
139,0,0,0,0,0,0,0
139,1,0,0,0,0,0,0
139,2,0,0,0,0,0,0
139,3,0,0,0,0,0,0
139,4,0,0,0,0,0,0
140,0,0,0,0,0,0,0
140,1,0,0,0,0,0,0
140,2,0,0,0,0,0,0
140,3,0,0,0,0,0,0
140,4,0,0,0,0,0,0
141,0,0,0,0,0,0,0
141,1,0,0,0,0,0,0
141,2,0,0,0,0,0,0
141,3,0,0,0,0,0,0
141,4,0,0,0,0,0,0
142,0,0,0,0,0,0,0
142,1,0,0,0,0,0,0
142,2,0,0,0,0,0,0
142,3,0,0,0,0,0,0
142,4,0,0,0,0,0,0
143,0,0,0,0,0,0,0
143,1,0,0,0,0,0,0
143,2,0,0,0,0,0,0
143,3,0,0,0,0,0,0
143,4,0,0,0,0,0,0
144,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0
144,2,0,0,0,0,0,0
144,3,0,0,0,0,0,0
144,4,0,0,0,0,0,0
145,0,0,0,0,0,0,0
145,1,0,0,0,0,0,0
145,2,0,0,0,0,0,0
145,3,0,0,0,0,0,0
145,4,0,0,0,0,0,0
146,0,0,0,0,0,0,0
146,1,0,0,0,0,0,0
146,2,0,0,0,0,0,0
146,3,0,0,0,0,0,0
146,4,0,0,0,0,0,0
147,0,0,0,0,0,0,0
147,1,0,0,0,0,0,0
147,2,0,0,0,0,0,0
147,3,0,0,0,0,0,0
147,4,0,0,0,0,0,0
148,0,0,0,0,0,0,0
148,1,0,0,0,0,0,0
148,2,0,0,0,0,0,0
148,3,0,0,0,0,0,0
148,4,0,0,0,0,0,0
149,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0
149,2,0,0,0,0,0,0
149,3,0,0,0,0,0,0
149,4,0,0,0,0,0,0
150,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0
150,2,0,0,0,0,0,0
150,3,0,0,0,0,0,0
150,4,0,0,0,0,0,0
151,0,0,0,0,0,0,0
151,1,0,0,0,0,0,0
151,2,0,0,0,0,0,0
151,3,0,0,0,0,0,0
151,4,0,0,0,0,0,0
152,0,3.5439,4.6894,-27.856,0,0,0
152,1,4.6342,5.8629,-39.271,0,0,0
152,2,5.2557,8.0536,-54.5,0,0,0
152,3,6.2682,11.262,-80.101,0,0,0
152,4,7.2785,16.581,-118.16,0,0,0
153,0,7.8976,23.31,-172.49,0,0,0
153,1,8.3643,29.255,-230.61,0,0,0
153,2,5.8695,31.68,-294.99,0,0,0
153,3,0.10074,32.696,-331.32,0,0,0
153,4,-5.3562,33.947,-349.31,0,0,0
154,0,-9.3301,35.667,-343.07,0,0,0
154,1,-12.524,36.762,-338.58,0,0,0
154,2,-15.566,37.779,-337.53,0,0,0
154,3,-18.059,40.282,-347.58,0,0,0
154,4,-20.866,43.176,-348.62,0,0,0
155,0,-22.19,46.697,-341.7,0,0,0
155,1,-23.051,50.452,-327.86,0,0,0
155,2,-23.049,53.66,-319.2,0,0,0
155,3,-23.051,56.946,-321.97,0,0,0
155,4,-23.91,61.405,-325.45,0,0,0
156,0,-23.52,65.317,-326.82,0,0,0
156,1,-23.287,69.933,-319.21,0,0,0
156,2,-23.601,74.079,-311.94,0,0,0
156,3,-23.133,78.46,-315.4,0,0,0
156,4,-23.368,83.233,-326.13,0,0,0
157,0,-22.59,87.927,-334.08,0,0,0
157,1,-22.2,91.917,-337.54,0,0,0
157,2,-21.577,96.22,-336.17,0,0,0
157,3,-20.487,99.428,-336.85,0,0,0
157,4,-19.16,102.17,-336.17,0,0,0
158,0,-18.306,104.75,-345.85,0,0,0
158,1,-16.512,106.08,-344.81,0,0,0
158,2,-15.187,107.1,-343.43,0,0,0
158,3,-13.705,107.49,-342.04,0,0,0
158,4,-12.147,107.72,-342.04,0,0,0
159,0,-11.132,106.47,-348.28,0,0,0
159,1,-9.6525,106,-351.73,0,0,0
159,2,-8.6376,104.05,-358.65,0,0,0
159,3,-8.4051,103.11,-362.46,0,0,0
159,4,-7.7021,101.86,-362.46,0,0,0
160,0,-6.3785,100.53,-362.11,0,0,0
160,1,-5.9896,99.274,-370.74,0,0,0
160,2,-5.5245,98.101,-388.05,0,0,0
160,3,-4.9816,98.257,-405.35,0,0,0
160,4,-3.1921,99.196,-418.49,0,0,0
161,0,1.0175,100.45,-426.45,0,0,0
161,1,6.3189,101.86,-439.93,0,0,0
161,2,10.449,104.6,-454.12,0,0,0
161,3,15.514,108.59,-470.73,0,0,0
161,4,20.033,113.2,-480.76,0,0,0
162,0,25.021,118.44,-489.06,0,0,0
162,1,28.761,124.08,-494.94,0,0,0
162,2,31.251,129.01,-505.32,0,0,0
162,3,32.65,134.95,-518.12,0,0,0
162,4,33.117,140.74,-531.27,0,0,0
163,0,32.802,146.92,-537.85,0,0,0
163,1,31.476,152.87,-544.08,0,0,0
163,2,29.133,158.42,-544.76,0,0,0
163,3,26.56,163.74,-558.26,0,0,0
163,4,22.892,169.53,-559.3,0,0,0
164,0,20.551,174.22,-568.66,0,0,0
164,1,18.836,178.45,-563.46,0,0,0
164,2,16.577,181.5,-566.24,0,0,0
164,3,14.937,184.08,-560.01,0,0,0
164,4,13.458,186.12,-563.47,0,0,0
165,0,12.057,186.59,-558.63,0,0,0
165,1,10.653,186.66,-562.09,0,0,0
165,2,9.799,185.49,-560.36,0,0,0
165,3,8.7042,183.38,-563.13,0,0,0
165,4,9.0976,180.8,-567.98,0,0,0
166,0,8.3953,177.98,-567.64,0,0,0
166,1,8.4731,174.46,-571.09,0,0,0
166,2,8.5509,171.64,-573.17,0,0,0
166,3,8.4716,168.99,-573.86,0,0,0
166,4,8.2375,166.79,-575.25,0,0,0
167,0,8.0026,165.07,-575.25,0,0,0
167,1,8.3152,163.43,-574.55,0,0,0
167,2,7.5322,162.49,-581.13,0,0,0
167,3,7.3744,161.63,-580.43,0,0,0
167,4,7.9218,162.18,-585.27,0,0,0
168,0,7.9965,161.63,-583.2,0,0,0
168,1,8.8543,162.81,-587.35,0,0,0
168,2,9.478,162.49,-584.93,0,0,0
168,3,10.335,163.67,-589.78,0,0,0
168,4,11.736,164.29,-592.21,0,0,0
169,0,13.062,164.84,-587.36,0,0,0
169,1,14.936,165.54,-589.43,0,0,0
169,2,15.402,166.56,-590.81,0,0,0
169,3,16.805,167.03,-596.35,0,0,0
169,4,17.348,168.36,-598.77,0,0,0
170,0,18.909,168.6,-600.5,0,0,0
170,1,19.767,169.38,-600.15,0,0,0
170,2,20.781,169.61,-605.34,0,0,0
170,3,21.323,170.32,-608.81,0,0,0
170,4,21.715,170.55,-615.39,0,0,0
171,0,22.493,170.79,-615.03,0,0,0
171,1,23.351,170.71,-619.19,0,0,0
171,2,23.43,170.39,-617.8,0,0,0
171,3,24.13,170.39,-627.84,0,0,0
171,4,24.209,170.55,-626.45,0,0,0
172,0,24.599,170.24,-634.07,0,0,0
172,1,24.364,170.63,-634.4,0,0,0
172,2,24.13,170.24,-639.6,0,0,0
172,3,23.894,170.32,-644.79,0,0,0
172,4,23.581,170.94,-647.9,0,0,0
173,0,23.425,170.55,-648.25,0,0,0
173,1,23.112,170.39,-651.36,0,0,0
173,2,22.408,170.47,-653.09,0,0,0
173,3,22.098,170.47,-655.86,0,0,0
173,4,22.017,169.85,-660.71,0,0,0
174,0,21.629,170.08,-658.28,0,0,0
174,1,21.549,169.06,-663.47,0,0,0
174,2,20.847,168.6,-667.27,0,0,0
174,3,21.237,168.28,-671.09,0,0,0
174,4,21.547,167.58,-672.82,0,0,0
175,0,21.549,166.8,-675.24,0,0,0
175,1,22.251,165.62,-672.13,0,0,0
175,2,22.17,164.53,-675.23,0,0,0
175,3,22.331,163.98,-677.32,0,0,0
175,4,23.344,162.96,-679.04,0,0,0
176,0,24.205,161.87,-678.35,0,0,0
176,1,23.971,160.93,-684.24,0,0,0
176,2,24.595,159.91,-683.88,0,0,0
176,3,25.298,159.29,-688.73,0,0,0
176,4,26.077,158.43,-689.77,0,0,0
177,0,27.249,157.49,-689.43,0,0,0
177,1,27.328,156.16,-689.77,0,0,0
177,2,27.873,155.84,-694.62,0,0,0
177,3,28.264,154.59,-693.57,0,0,0
177,4,28.656,154.04,-699.81,0,0,0
178,0,29.203,152.72,-697.39,0,0,0
178,1,29.047,151.93,-695.99,0,0,0
178,2,28.968,151.07,-699.46,0,0,0
178,3,29.124,150.45,-702.57,0,0,0
178,4,29.362,149.51,-703.61,0,0,0
179,0,29.593,148.8,-705.34,0,0,0
179,1,29.204,147.79,-707.76,0,0,0
179,2,28.815,147.16,-708.45,0,0,0
179,3,28.892,146.3,-708.8,0,0,0
179,4,28.891,145.44,-709.15,0,0,0
180,0,29.285,144.27,-707.76,0,0,0
180,1,28.892,143.64,-707.76,0,0,0
180,2,28.505,142.54,-711.22,0,0,0
180,3,28.505,142.39,-710.87,0,0,0
180,4,28.504,141.68,-716.07,0,0,0
181,0,28.976,140.98,-711.57,0,0,0
181,1,28.975,140.35,-711.91,0,0,0
181,2,28.583,140.04,-719.18,0,0,0
181,3,29.209,139.49,-713.98,0,0,0
181,4,29.364,139.18,-715.03,0,0,0
182,0,29.755,138.71,-710.52,0,0,0
182,1,30.148,138.32,-711.22,0,0,0
182,2,30.148,137.93,-709.13,0,0,0
182,3,30.382,137.38,-713.3,0,0,0
