Frame, SubFrame, COPx(mm), COPy(mm)
1,0,116.99,205.44
1,1,116.45,205.12
1,2,116.8,204.84
1,3,117.12,205.51
1,4,116.97,204.13
2,0,117.32,204.75
2,1,116.56,204.74
2,2,116.47,204.45
2,3,116.86,205.54
2,4,117.05,205.42
3,0,117.35,205.02
3,1,117.35,204.64
3,2,117.56,206.21
3,3,117.3,203.43
3,4,118.08,204.92
4,0,116.92,204.12
4,1,117.01,203.84
4,2,117.81,205.51
4,3,117.37,205.93
4,4,118.04,204.42
5,0,117.79,206.23
5,1,117.29,206.2
5,2,117.81,203.93
5,3,117.52,205.61
5,4,117.86,204.4
6,0,117.2,204.21
6,1,117.19,204.7
6,2,117.66,205.8
6,3,117.79,205.1
6,4,117.87,205.5
7,0,117.4,204.18
7,1,117.38,204.32
7,2,117.35,205.88
7,3,117.33,204.17
7,4,117.53,205.79
8,0,116.67,204.78
8,1,118.01,205.66
8,2,117.22,204.57
8,3,118.31,204.67
8,4,116.48,203.75
9,0,117.21,204.3
9,1,117.18,205.95
9,2,117.23,203.57
9,3,117.54,204.88
9,4,117.32,205.77
10,0,116.76,205.17
10,1,117.89,204.78
10,2,117.09,205.36
10,3,117.35,204.57
10,4,117.46,205.58
11,0,117.06,205.65
11,1,117.43,204.38
11,2,117.33,206.35
11,3,117.27,204.26
11,4,117.43,204.96
12,0,117.61,205.77
12,1,116.92,206.55
12,2,117.75,204.66
12,3,117.38,205.66
12,4,116.79,205.15
13,0,117.99,206.08
13,1,117.3,206.25
13,2,117.88,204.77
13,3,117.66,205.77
13,4,117.11,205.96
14,0,117.63,206.65
14,1,117.45,205.26
14,2,117.57,205.97
14,3,117.31,206.25
14,4,117.95,204.99
15,0,117.91,205.65
15,1,117.27,204.58
15,2,117.49,205.57
15,3,117.2,205.45
15,4,117.5,206.17
16,0,117.2,205.59
16,1,117.36,206.04
16,2,116.86,204.96
16,3,118.02,205.97
16,4,117.07,206.05
17,0,117.22,205.37
17,1,117.39,206.44
17,2,116.57,205.65
17,3,116.88,206.26
17,4,117.63,207.24
18,0,117.78,206.83
18,1,117.6,205.74
18,2,117.86,207.13
18,3,116.84,207.12
18,4,117.67,206.55
19,0,117.58,206.74
19,1,116.9,205.74
19,2,117.06,206.85
19,3,117.63,206.83
19,4,117.55,206.72
20,0,117.41,206.52
20,1,117.68,207.22
20,2,117.15,206.21
20,3,116.9,205.74
20,4,116.74,206.32
21,0,117.43,206.02
21,1,117.36,207.21
21,2,117.34,206.91
21,3,117.67,207.8
21,4,117.35,206.21
22,0,117.98,207.9
22,1,116.88,207.9
22,2,117.37,206.62
22,3,117.49,208.48
22,4,117.24,206.5
23,0,117.47,208.97
23,1,116.96,207.49
23,2,116.92,208.08
23,3,117.8,207.29
23,4,117.7,207.68
24,0,116.56,207.18
24,1,117.22,208.67
24,2,117.21,208.16
24,3,116.74,206.58
24,4,118.15,208.06
25,0,117.12,207.67
25,1,117.03,207.37
25,2,117.15,207.67
25,3,117.41,207.46
25,4,116.77,206.96
26,0,117.52,208.95
26,1,116.71,208.04
26,2,117.04,207.66
26,3,117.45,208.44
26,4,117.18,207.66
27,0,116.89,208.35
27,1,117.22,208.74
27,2,117.05,208.94
27,3,116.77,207.65
27,4,117.21,209.44
28,0,116.6,209.04
28,1,117.03,208.84
28,2,117.63,208.63
28,3,117.58,207.65
28,4,116.95,208.74
29,0,117.47,208.05
29,1,116.26,209.24
