Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-27.171,213.6
1,1,-26.712,212.11
1,2,-27.091,214.64
1,3,-27.62,213.77
1,4,-27.493,213.77
2,0,-27.568,212.98
2,1,-26.77,214.17
2,2,-28.026,213.97
2,3,-27.938,213.57
2,4,-26.717,213.09
3,0,-26.724,212.32
3,1,-27.142,212.2
3,2,-26.474,212.1
3,3,-27.527,213.07
3,4,-26.373,212.49
4,0,-26.433,213.38
4,1,-28.779,213.37
4,2,-26.626,213.2
4,3,-27.15,212.87
4,4,-26.294,213.46
5,0,-27.998,213.87
5,1,-26.783,214.04
5,2,-27.41,213.85
5,3,-25.953,213.57
5,4,-26.958,213.38
6,0,-26.572,214.46
6,1,-26.135,213.84
6,2,-27.545,214.06
6,3,-26.035,214.48
6,4,-27.145,213.65
7,0,-26.952,213.64
7,1,-27.706,213.75
7,2,-26.746,214.49
7,3,-26.162,214.37
7,4,-27.742,213.29
8,0,-26.489,211.98
8,1,-28.002,213.37
8,2,-26.025,215.4
8,3,-27.075,212.69
8,4,-25.802,213.68
9,0,-27.487,213.06
9,1,-26.922,214.22
9,2,-27.03,214.08
9,3,-26.588,213.77
9,4,-26.043,214.46
10,0,-27.589,213.68
10,1,-26.68,212.69
10,2,-28.425,213.89
10,3,-26.613,213.56
10,4,-26.526,212.9
11,0,-26.309,213.19
11,1,-27.196,213.56
11,2,-27.809,214.73
11,3,-25.988,213.76
11,4,-26.856,213.87
12,0,-26.29,214.14
12,1,-28.078,214.83
12,2,-25.385,212.66
12,3,-27.67,213.86
12,4,-27.233,214.54
13,0,-27.407,214.73
13,1,-27.921,214.35
13,2,-26.134,213.46
13,3,-26.842,214.77
13,4,-26.515,215.29
14,0,-27.873,212.88
14,1,-26.466,213.46
14,2,-26.893,214
14,3,-27.081,214.14
14,4,-27.719,214.24
15,0,-27.563,213.37
15,1,-25.667,215.12
15,2,-27.457,214.06
15,3,-26.08,214.55
15,4,-26.668,214.33
16,0,-25.632,215.09
16,1,-27.596,214.93
16,2,-26.866,214.45
16,3,-27.003,214.55
16,4,-26.846,213.73
17,0,-26.935,214.43
17,1,-26.604,213.67
17,2,-26.141,215.13
17,3,-27.18,213.29
17,4,-25.931,213.19
18,0,-26.999,213.17
18,1,-27.401,214.32
18,2,-26.251,213.26
18,3,-26.784,211.9
18,4,-25.642,214.32
19,0,-27.577,214.73
19,1,-26.648,215.65
19,2,-26.372,212.97
19,3,-27.321,214.51
19,4,-28.337,212.29
20,0,-27.13,213.94
20,1,-26.385,214.23
20,2,-26.864,213.28
20,3,-25.449,214.46
20,4,-28.283,214.1
21,0,-25.365,214.32
21,1,-27.945,213.77
21,2,-26.546,214.08
21,3,-27.11,214.11
21,4,-27.165,214.76
22,0,-27.903,214.08
22,1,-26.982,213.58
22,2,-25.846,215.21
22,3,-27.978,214.36
22,4,-25.966,214.63
23,0,-27.966,215.15
23,1,-25.84,214.55
23,2,-27.297,214.75
23,3,-27.695,213.86
23,4,-26.49,215
24,0,-28.159,215.05
24,1,-26.471,215.44
24,2,-27.196,214.97
24,3,-26.758,215.79
24,4,-26.338,213.38
25,0,-25.936,214.57
25,1,-26.13,213.88
25,2,-26.053,215.53
25,3,-25.559,214.73
25,4,-27.009,213.37
26,0,-24.671,216.44
26,1,-28.212,215.91
26,2,-25.524,216.09
26,3,-26.768,215.34
26,4,-27.342,216.66
27,0,-27.087,215.91
27,1,-25.853,215.5
27,2,-25.905,215.24
27,3,-26.356,214.06
27,4,-25.506,215.21
28,0,-27.533,215.22
